timestamp,dew_point,feels_like,humidity,icon,illuminance,precipitation,precipitation_accumulated,pressure,solar_irradiance,temperature,uv_index,wind_direction,wind_gust,wind_speed
2026-07-25T00:00:00-04:00,16.23916342058726,18.261,88,partly-cloudy-night,0,0,0,985.4685000000002,0,18.261,0,8,0.51,0.0006666666666666666
2026-07-25T01:00:00-04:00,16.214829130199163,18.056333333333328,89,partly-cloudy-night,0,0,0,984.9699999999998,0,18.056333333333328,0,8,0,0
2026-07-25T02:00:00-04:00,16.583021665874604,17.73000000000002,93,partly-cloudy-night,0,0,0,984.5541666666667,0,17.73000000000002,0,8,0,0
2026-07-25T03:00:00-04:00,16.48968139998667,17.63583333333334,93,partly-cloudy-night,0,0,0,984.2078333333337,0,17.63583333333334,0,8,0,0
2026-07-25T04:00:00-04:00,16.210907847154978,17.52583333333333,92,partly-cloudy-night,0,0,0,984.1146666666663,0,17.52583333333333,0,8,0,0
2026-07-25T05:00:00-04:00,16.145737199922806,17.459999999999994,92,partly-cloudy-night,1.1833333333333333,0,0,984.1638333333335,0.009699453551912568,17.459999999999994,0,8,0,0
2026-07-25T06:00:00-04:00,16.20414330669087,17.519000000000005,92,partly-cloudy-day,304.78333333333336,0,0,984.3491666666665,2.4982240437158474,17.519000000000005,0,8,0,0
2026-07-25T07:00:00-04:00,16.39791331715419,17.88833333333333,91,partly-cloudy-day,1886.2833333333333,0,0,984.5473333333332,15.461338797814207,17.88833333333333,0,8,0,0
2026-07-25T08:00:00-04:00,16.831690880104304,18.682000000000002,89,partly-cloudy-day,4189.616666666667,0,0,984.6003333333333,34.341120218579235,18.682000000000002,0,8,0,0
2026-07-25T09:00:00-04:00,17.195345143276835,19.41583333333333,87,partly-cloudy-day,6220.433333333333,0,0,984.6114999999998,50.987158469945356,19.41583333333333,0,8,0,0
2026-07-25T10:00:00-04:00,17.638108996653557,20.242000000000008,85,partly-cloudy-day,9946.95,0,0,983.9951666666665,81.53237704918034,20.242000000000008,0,81,1.53,0.034333333333333334
2026-07-25T11:00:00-04:00,17.758695459035252,20.556833333333334,84,partly-cloudy-day,12430.3,0,0,983.8093333333331,101.88770491803278,20.556833333333334,0,104,1.53,0.06916666666666667
2026-07-25T12:00:00-04:00,18.01655001355456,21.212500000000002,82,partly-cloudy-day,13550.875,0,0,983.60875,111.07274590163935,21.212500000000002,0,24,0.51,0.061250000000000006
2026-07-24T00:00:00-04:00,14.906695424493936,18.02650000000001,82,partly-cloudy-night,0,0,0,986.3388333333331,0,18.02650000000001,0,68,0.51,0.16649999999999998
